PROGRAMAS DE DOCTORADO;Matrícula total;%  Residencia fuera de la Comunidad Valenciana;%  Nacionalidad no española
AGUA Y DESARROLLO SOSTENIBLE;52;26.92;65.38
BIODIVERSIDAD Y CONSERVACIÓN;19;31.58;52.63
BIOLOGÍA EXPERIMENTAL Y APLICADA;42;14.29;23.81
CIENCIA DE MATERIALES;68;17.65;41.18
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;5;0;0
CIENCIAS DE LA SALUD;186;21.51;13.44
CIENCIAS DEL MAR Y BIOLOGÍA APLICADA;26;34.62;38.46
CIENCIAS EXPERIMENTALES Y BIOSANITARIAS;58;15.52;13.79
CONSERVACIÓN Y RESTAURACIÓN DE ECOSISTEMAS;22;18.18;27.27
DERECHO;151;21.85;44.37
ECONOMÍA;39;30.77;38.46
ECONOMÍA (Interuniversitario);2;0;50
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);20;40;45
EMPRESA, ECONOMÍA Y SOCIEDAD;93;16.13;27.96
ESTUDIOS HISTÓRICOS Y SOCIALES SOBRE CIENCIA, MEDICINA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);3;66.67;33.33
ESTUDIOS INTERDISCIPLINARES DE GÉNERO (Interuniversitario);19;10.53;15.79
FILOSOFÍA (Interuniversitario);8;0;0
FILOSOFÍA Y LETRAS;271;16.24;28.78
FÍSICA APLICADA A LAS CIENCIAS Y LAS TECNOLOGÍAS;31;16.13;29.03
HUMANIDADES Y ESTUDIOS SOCIALES DE AMÉRICA LATINA;85;47.06;78.82
INFORMÁTICA;130;24.62;29.23
INGENIERÍA DE MATERIALES, ESTRUCTURAS Y TERRENO: CONSTRUCCIÓN SOSTENIBLE;38;36.84;50
INGENIERÍA QUÍMICA;23;17.39;43.48
INVESTIGACIÓN EDUCATIVA;94;17.02;23.4
MARIE SKLODOWSKA-CURIE EN DERECHO DE PROPIEDAD INTELECTUAL E INNOVACIÓN (EIPN-IS) (EUROPEO CONJUNTO);2;50;50
MÉTODOS MATEMÁTICOS Y MODELIZACIÓN EN CIENCIAS E INGENIERÍA;23;8.7;82.61
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario);6;16.67;0
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario, a extinguir);1;100;0
SÍNTESIS ORGÁNICA;19;31.58;31.58
TECNOLOGÍA EDUCATIVA APLICADA AL CONOCIMIENTO;28;53.57;39.29
TRADUCTOLOGÍA, TRADUCCIÓN PROFESIONAL Y AUDIOVISUAL (Interuniversitario);38;31.58;60.53
TRANSFERENCIAS INTERCULTURALES E HISTÓRICAS EN LA EUROPA MEDIEVAL MEDITERRÁNEA;51;33.33;82.35
TURISMO (Interuniversitario);35;28.57;68.57
TURISMO (Interuniversitario, a extinguir);4;25;75
