SUBTOTALES;Importe (euros)
Operaciones corrientes (A);246788320.71
Operaciones de capital (B);30645705.67
Operaciones no financieras (A+B);277434026.38
Operaciones financieras (C);0
Total operaciones (A+B+C);277434026.38
