CENTRO;Nº;%
ESCUELA POLITÉCNICA SUPERIOR;11;20.8
FACULTAD DE CIENCIAS;9;17
FACULTAD DE CIENCIAS DE LA SALUD;4;7.5
FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES;8;15.1
FACULTAD DE DERECHO;8;15.1
FACULTAD DE EDUCACIÓN;3;5.7
FACULTAD DE FILOSOFÍA Y LETRAS;10;18.9
