FONDOS BIBLIOGRÁFICOS;TOTAL
LIBROS EN PAPEL;848937
LIBROS ELECTRÓNICOS;674829
REVISTAS IMPRESAS;11360
REVISTAS ELECTRÓNICAS;155509
BASES DE DATOS;183
