CENTRO;Total;Mujeres;Hombres
ESCUELA POLITÉCNICA SUPERIOR;3905;1276;2629
FACULTAD DE CIENCIAS;2317;1207;1110
FACULTAD DE CIENCIAS DE LA SALUD;1426;1108;318
FACULTAD  DE CIENCIAS ECONÓMICAS Y EMPRESARIALES;4318;2505;1813
FACULTAD DE DERECHO;4242;3025;1217
FACULTAD DE EDUCACIÓN;3548;2510;1038
FACULTAD DE FILOSOFÍA Y LETRAS;2633;1722;911
