RÉGIMEN JURÍDICO;Total - Nº;Total - %;Mujeres - Nº;Mujeres - %;Hombres - Nº;Hombres - %
FUNCIONARIO/A DE CARRERA;1004;38.8;379;35.6;625;41.1
LABORAL DOCENTE;1172;45.3;508;47.7;664;43.6
LABORAL DOCENTE E INVESTIGADOR/A;412;15.9;179;16.8;233;15.3
