NIVEL DE CONOCIMIENTO;ENTENDIDO - TOTAL;ENTENDIDO - MUJERES;ENTENDIDO - HOMBRES;ESCRITO - TOTAL;ESCRITO - MUJERES;ESCRITO - HOMBRES;HABLADO - TOTAL;HABLADO - MUJERES;HABLADO - HOMBRES;LEÍDO - TOTAL;LEÍDO - MUJERES;LEÍDO - HOMBRES
BASTANTE BIEN;6463;3693;2770;6722;4061;2661;6683;4025;2658;6463;3752;2711
CORRECTAMENTE;9721;6042;3679;5339;3291;2048;5930;3644;2286;8821;5463;3358
CON DIFICULTAD;2447;1330;1117;4505;2458;2047;4238;2295;1943;2117;1113;1004
NADA;2801;1746;1055;4784;2945;1839;4517;2799;1718;4029;2483;1546
NO CONTESTA;272;144;128;354;200;154;336;192;144;274;144;130
