RAMA DE ENSEÑANZA;Nº;%
ARTES Y HUMANIDADES;8;16
CIENCIAS;6;12
CIENCIAS DE LA SALUD;4;8
CIENCIAS SOCIALES Y JURÍDICAS;21;42
INGENIERÍA Y ARQUITECTURA;11;22
