CENTRO;Total;Mujeres;Hombres
ESCUELA POLITÉCNICA SUPERIOR;936;300;636
FACULTAD DE CIENCIAS;573;292;281
FACULTAD DE CIENCIAS DE LA SALUD;454;362;92
FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES;1151;683;468
FACULTAD DE DERECHO;1005;723;282
FACULTAD DE EDUCACIÓN;857;611;246
FACULTAD DE FILOSOFÍA Y LETRAS;671;453;218
