RAMA DE ENSEÑANZA;Total;Mujeres;Hombres
ARTES Y HUMANIDADES;510;320;190
CIENCIAS;466;252;214
CIENCIAS DE LA SALUD;615;476;139
CIENCIAS SOCIALES Y JURÍDICAS;3177;2102;1075
INGENIERÍA Y ARQUITECTURA;1047;357;690
