Personal Técnico, de Gestión y de Apoyo a la Investigación (I-PTGAS) ;Total - Nº;Total - %;Mujeres - Nº;Mujeres - %;Hombres - Nº;Hombres - %
<=25;66;38.4;32;36.4;34;40.5
26-30;37;21.5;16;18.2;21;25
31-35;19;11;9;10.2;10;11.9
36-40;15;8.7;9;10.2;6;7.1
41-45;13;7.6;7;8;6;7.1
46-50;16;9.3;9;10.2;7;8.3
51-55;5;2.9;5;5.7;0;0
56-60;1;0.6;1;1.1;0;0
61-65;0;0;0;0;0;0
>65;0;0;0;0;0;0
