CENTRO;Nº;%
ESCUELA POLITÉCNICA SUPERIOR;10;20
FACULTAD DE CIENCIAS;8;16
FACULTAD DE CIENCIAS DE LA SALUD;3;6
FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES;8;16
FACULTAD DE DERECHO;8;16
FACULTAD DE EDUCACIÓN;3;6
FACULTAD DE FILOSOFÍA Y LETRAS;10;20
