B. Operaciones de capital;Importe (euros)
6 Inversiones Reales;43058880.48
60 Inversión nueva en infraestructuras y bienes;9079950.89
64 Gastos de inversiones de carácter inmaterial;33978929.59
7 Transferencias de Capital;132160.77
