BIBLIOTECAS;TOTAL
NÚMERO;7
PUESTOS INDIVIDUALES DE TRABAJO  (CON Y SIN EQUIPAMIENTO INFORMÁTICO Y/O AUDIOVISUAL);3381
NÚMERO DE SALAS DE TRABAJO;28
PUESTOS EN SALAS DE TRABAJO;192
NÚMERO DE SALAS COLECTIVAS PARA ACTIVIDADES;8
PUESTOS EN SALAS COLECTIVAS PARA ACTIVIDADES;179
