GRADOS;Matrícula total;%  Residencia fuera de la Comunidad Valenciana;%  Nacionalidad no española
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;1176;14.12;15.9
ARQUITECTURA;3;0;0
ARQUITECTURA TÉCNICA;246;15.04;17.07
BIOLOGÍA;629;20.35;4.93
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;410;29.27;2.68
CIENCIAS DEL MAR;229;40.17;5.68
CRIMINOLOGÍA;939;31.95;5.01
DERECHO;1330;7.9;11.51
ECONOMÍA;509;10.41;11.2
ENFERMERÍA;795;14.84;3.27
ESPAÑOL: LENGUA Y LITERATURAS;244;6.15;4.1
ESTUDIOS ÁRABES E ISLÁMICOS;27;7.41;29.63
ESTUDIOS FRANCESES;51;21.57;15.69
ESTUDIOS INGLESES;461;9.33;13.67
FILOLOGIA CATALANA;141;0.71;0
FÍSICA;257;15.56;3.11
FUNDAMENTOS DE LA ARQUITECTURA;543;21.73;14
GASTRONOMÍA Y ARTES CULINARIAS;251;28.69;11.55
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO;93;7.53;5.38
GEOLOGÍA;103;12.62;6.8
GESTIÓN Y ADMINISTRACIÓN PÚBLICA;100;11.11;17.17
HISTORIA;472;5.51;2.54
HUMANIDADES;90;3.33;7.78
INGENIERÍA BIOMÉDICA;331;25.98;3.93
INGENIERÍA CIVIL;229;13.1;17.9
INGENIERÍA EN INTELIGENCIA ARTIFICIAL;65;15.38;9.23
INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN;256;13.28;8.98
INGENIERÍA INFORMÁTICA;914;9.52;10.5
INGENIERÍA MULTIMEDIA;464;12.07;6.9
INGENIERÍA QUÍMICA;280;9.29;8.57
INGENIERÍA ROBÓTICA;287;31.71;4.18
MAESTRO EN EDUCACIÓN INFANTIL;1324;5.82;1.81
MAESTRO EN EDUCACIÓN PRIMARIA;1729;6.3;1.56
MARKETING;287;20.91;8.71
MATEMÁTICAS;298;19.8;3.02
MEDICINA;91;47.25;6.59
NUTRICIÓN HUMANA Y DIETÉTICA;358;22.63;7.82
ÓPTICA Y OPTOMETRÍA;220;25.45;11.82
PUBLICIDAD Y RELACIONES PÚBLICAS;1039;21.56;9.72
QUÍMICA;278;9.71;1.8
RELACIONES INTERNACIONALES;259;29.34;8.88
RELACIONES LABORALES Y RECURSOS HUMANOS (UA);456;9;10
RELACIONES LABORALES Y RECURSOS HUMANOS (ELDA);66;5;8
SOCIOLOGÍA;163;6.75;10.43
TRABAJO SOCIAL;630;12.38;3.65
TRADUCCIÓN E INTERPRETACIÓN;596;18.96;13.26
TURISMO;562;14.62;34.94
DOBLE GRADO EN DERECHO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;512;11.72;5.27
DOBLE GRADO EN DERECHO Y CRIMINOLOGÍA;365;38.08;6.3
DOBLE GRADO EN DERECHO Y RELACIONES INTERNACIONALES;236;35.59;1.69
DOBLE GRADO EN INGENIERÍA INFORMÁTICA Y ADMINISTR. Y DIRECCIÓN DE EMPRESAS;206;9.71;11.65
DOBLE GRADO EN TURISMO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;285;18.95;17.89
