RAMA DE ENSEÑANZA;Total - Nº;Total - %;Mujeres - Nº;Mujeres - %;Hombres - Nº;Hombres - %
ARTES Y HUMANIDADES;2082;9.5;1433;11;649;7.3
CIENCIAS;1794;8.2;854;6.6;940;10.6
CIENCIAS DE LA SALUD;1464;6.7;1126;8.6;338;3.8
CIENCIAS SOCIALES Y JURÍDICAS;12721;58.1;8431;64.7;4290;48.5
INGENIERÍA Y ARQUITECTURA;3824;17.5;1192;9.1;2632;29.7
