TIPO ADMINISTRACIÓN;Total - Nº;Total - %;Mujeres - Nº;Mujeres - %;Hombres - Nº;Hombres - %
ADMINISTRACIÓN GENERAL;819;54.6;567;64.1;252;41
ADMINISTRACIÓN ESPECIAL;681;45.4;318;35.9;363;59
