Estudiantado enviado;Total;Mujeres;Hombres
ESCUELA POLITÉCNICA SUPERIOR;93;40;53
FACULTAD DE CIENCIAS;57;32;25
FACULTAD DE CIENCIAS DE LA SALUD;30;25;5
FACULTAD  DE CIENCIAS ECONÓMICAS Y EMPRESARIALES;197;117;80
FACULTAD DE DERECHO;160;110;50
FACULTAD DE EDUCACIÓN;61;46;15
FACULTAD DE FILOSOFÍA Y LETRAS;168;136;32
UNIVERSIDAD PERMANENTE;1;1;0
