MÁSTERES;Matrícula total;%  Residencia fuera de la Comunidad Valenciana;%  Nacionalidad no española
ABOGACÍA (a extinguir);94;7.45;6.38
ABOGACÍA Y PROCURA;113;5.31;8.85
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;60;35;75
ARQUEOLOGÍA PROFESIONAL Y GESTIÓN INTEGRAL DEL PATRIMONIO;43;23.26;11.63
ARQUITECTURA;77;40.26;9.09
AUTOMÁTICA Y ROBÓTICA;33;45.45;24.24
BIOMEDICINA;16;37.5;50
BIOTECNOLOGÍA PARA LA SALUD Y LA SOSTENIBILIDAD;8;25;37.5
CÁLCULO Y MODELIZACIÓN CIENTÍFICA;3;0;0
CIBERSEGURIDAD;20;25;35
CIENCIA DE DATOS;28;21.43;14.29
CIENCIA DE MATERIALES;12;41.67;8.33
COMUNICACIÓN DIGITAL;48;20.83;18.75
COMUNICACIÓN E INDUSTRIAS CREATIVAS;55;40;74.55
CONSERVACIÓN DE LA BIODIVERSIDAD Y RESTAURACIÓN;33;60.61;24.24
COOPERACIÓN AL DESARROLLO (Interuniversitario);24;41.67;45.83
DERECHO AMBIENTAL Y DE LA SOSTENIBILIDAD;29;51.72;82.76
DERECHO DE DAÑOS;14;14.29;21.43
DESARROLLO DE APLICACIONES Y SERVICIOS WEB;15;13.33;53.33
DESARROLLO DE SOFTWARE PARA DISPOSITIVOS MÓVILES;19;26.32;36.84
DESARROLLO LOCAL E INNOVACIÓN TERRITORIAL;11;36.36;45.45
DIRECCIÓN Y PLANIFICACIÓN DEL TURISMO;40;30;77.5
ECONOMÍA APLICADA;11;27.27;45.45
ECONOMÍA CUANTITATIVA;17;43.75;50
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);26;11.54;19.23
EMERGENCIAS Y CATÁSTROFES;33;12.12;9.09
ENVEJECIMIENTO ACTIVO Y SALUD;19;36.84;26.32
ESPAÑOL E INGLÉS COMO SEGUNDAS LENGUAS/LENGUAS EXTRANJERAS;48;18.75;18.75
ESTUDIOS INGLESES AVANZADOS;21;23.81;33.33
ESTUDIOS LITERARIOS;31;16.13;16.13
GESTIÓN ADMINISTRATIVA;26;7.69;46.15
GESTIÓN PESQUERA SOSTENIBLE;11;9.09;63.64
GESTIÓN SOSTENIBLE Y TECNOLOGÍAS DEL AGUA;22;45.45;45.45
HISTORIA DE LA CIENCIA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);12;14.29;0
HISTORIA DE LA EUROPA CONTEMPORÁNEA: IDENTIDADES E INTEGRACIÓN;11;18.18;18.18
HISTORIA DEL MUNDO MEDITERRÁNEO Y SUS REGIONES;23;13.04;4.35
HISTORIA E IDENTIDADES EN EL MEDITERRÁNEO OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitario);16;37.5;18.75
INGENIERÍA BIOMÉDICA;9;11.11;11.11
INGENIERÍA DE CAMINOS, CANALES Y PUERTOS;55;16.36;38.18
INGENIERÍA DE TELECOMUNICACIÓN;37;24.32;40.54
INGENIERÍA GEOLÓGICA;18;33.33;50
INGENIERÍA INFORMÁTICA;6;16.67;66.67
INGENIERÍA QUÍMICA;46;10.87;15.22
INGLÉS Y ESPAÑOL PARA FINES ESPECÍFICOS;21;23.81;76.19
INNOVACIÓN SOCIAL Y DINÁMICAS DE CAMBIO;17;29.41;17.65
INTELIGENCIA ARTIFICIAL;29;20.69;6.9
INVESTIGACIÓN CRIMINAL Y CIENCIAS FORENSES;17;47.06;23.53
INVESTIGACIÓN EDUCATIVA;42;9.52;14.29
INVESTIGACIÓN EN CIENCIAS DE LA SALUD;15;13.33;6.67
NANOCIENCIA Y NANOTECNOLOGÍA MOLECULAR (Interuniversitario);2;0;0
NUTRICIÓN Y ALIMENTACIÓN;22;31.82;54.55
OPTOMETRÍA AVANZADA Y SALUD VISUAL;6;50;50
PALEONTOLOGÍA APLICADA (Interuniversitario);13;30.77;30.77
PLANIFICACIÓN Y GESTIÓN DE RIESGOS NATURALES;22;50;18.18
PREVENCIÓN DE RIESGOS LABORALES;39;23.08;48.72
PROFESORADO DE EDUCACIÓN SECUNDARIA;540;9.26;3.15
QUÍMICA AMBIENTAL Y SOSTENIBLE;14;28.57;42.86
QUÍMICA MÉDICA;7;28.57;14.29
TRADUCCIÓN INSTITUCIONAL;93;62.37;23.66
TURISMO CULTURAL;16;37.5;37.5
