MÁSTERES UNIVERSITARIOS;Total;Mujeres;Hombres
ABOGACÍA;113;70;43
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;39;19;20
ARQUEOLOGÍA PROFESIONAL Y GESTIÓN INTEGRAL DEL PATRIMONIO;32;14;18
ARQUITECTURA;37;16;21
AUTOMÁTICA Y ROBÓTICA;27;8;19
BIOMEDICINA;12;7;5
BIOTECNOLOGÍA PARA LA SALUD Y LA SOSTENIBILIDAD;6;3;3
CÁLCULO Y MODELIZACIÓN CIENTÍFICA;3;1;2
CIBERSEGURIDAD;15;2;13
CIENCIA DE DATOS;19;8;11
CIENCIA DE MATERIALES;10;4;6
COMUNICACIÓN DIGITAL;32;21;11
COMUNICACIÓN E INDUSTRIAS CREATIVAS;38;29;9
CONSERVACIÓN DE LA BIODIVERSIDAD Y RESTAURACIÓN;15;8;7
COOPERACIÓN AL DESARROLLO (Interuniversitario);12;7;5
DERECHO AMBIENTAL Y DE LA SOSTENIBILIDAD;19;12;7
DERECHO DE DAÑOS;12;9;3
DESARROLLO DE APLICACIONES Y SERVICIOS WEB;12;3;9
DESARROLLO DE SOFTWARE PARA DISPOSITIVOS MÓVILES;15;1;14
DESARROLLO LOCAL E INNOVACIÓN TERRITORIAL;8;3;5
DIRECCIÓN Y PLANIFICACIÓN DEL TURISMO;19;11;8
ECONOMÍA APLICADA;8;3;5
ECONOMÍA CUANTITATIVA;11;5;6
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);25;16;9
EMERGENCIAS Y CATÁSTROFES;30;26;4
ENVEJECIMIENTO ACTIVO Y SALUD;16;8;8
ESPAÑOL E INGLÉS COMO SEGUNDAS LENGUAS/LENGUAS EXTRANJERAS;26;21;5
ESTUDIOS INGLESES AVANZADOS;21;14;7
ESTUDIOS LITERARIOS;23;14;9
GESTIÓN ADMINISTRATIVA;18;12;6
GESTIÓN PESQUERA SOSTENIBLE;10;6;4
GESTIÓN SOSTENIBLE Y TECNOLOGÍAS DEL AGUA;17;13;4
HISTORIA DE LA CIENCIA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);7;2;5
HISTORIA DE LA EUROPA CONTEMPORÁNEA: IDENTIDADES E INTEGRACIÓN;8;1;7
HISTORIA DEL MUNDO MEDITERRÁNEO Y SUS REGIONES;19;11;8
HISTORIA E IDENTIDADES EN EL MEDITERRÁNEO OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitario);12;5;7
INGENIERÍA BIOMÉDICA;9;6;3
INGENIERÍA DE CAMINOS, CANALES Y PUERTOS;18;3;15
INGENIERÍA DE TELECOMUNICACIÓN;22;5;17
INGENIERÍA GEOLÓGICA;6;1;5
INGENIERÍA INFORMÁTICA;3;1;2
INGENIERÍA QUÍMICA;18;9;9
INGLÉS Y ESPAÑOL PARA FINES ESPECÍFICOS;15;12;3
INNOVACIÓN SOCIAL Y DINÁMICAS DE CAMBIO;8;5;3
INTELIGENCIA ARTIFICIAL;29;3;26
INVESTIGACIÓN CRIMINAL Y CIENCIAS FORENSES;14;12;2
INVESTIGACIÓN EDUCATIVA;33;21;12
INVESTIGACIÓN EN CIENCIAS DE LA SALUD;12;9;3
NANOCIENCIA Y NANOTECNOLOGÍA MOLECULAR (Interuniversitario);2;1;1
NUTRICIÓN Y ALIMENTACIÓN;15;13;2
OPTOMETRÍA AVANZADA Y SALUD VISUAL;4;4;0
PALEONTOLOGÍA APLICADA (Interuniversitario);13;7;6
PLANIFICACIÓN Y GESTIÓN DE RIESGOS NATURALES;18;9;9
PREVENCIÓN DE RIESGOS LABORALES;28;16;12
PROFESORADO DE EDUCACIÓN SECUNDARIA;456;257;199
QUÍMICA AMBIENTAL Y SOSTENIBLE;13;9;4
QUÍMICA MÉDICA;6;4;2
TRADUCCIÓN INSTITUCIONAL;47;41;6
TURISMO CULTURAL;9;5;4
