USO;CAMPUS (*);AMPLIACIÓN
ENSEÑANZA: - AULARIOS;45234.72;2249.84
INVESTIGACIÓN: - SERVICIOS TÉCNICOS DE INVESTIGACIÓN - INSTITUTOS Y CENTROS DE INVESTIGACIÓN;9480.4;11704.59
DESPACHOS Y SEMINARIOS PDI;31953.69;2978.43
GESTIÓN Y ADMINISTRACIÓN - RECTORADO - DECANATOS - INSTITUTOS - DEPARTAMENTOS - OTROS SERVICIOS - SALAS DE JUNTAS, ETC.;30653.39;5675.15
BIBLIOTECA, HEMEROTECA Y ARCHIVOS;15186.04;84.58
INSTALACIONES DEPORTIVAS QUE REÚNEN LA CONDICIÓN DE ESTAR BAJO CUBIERTA Y/O EN RECINTOS CERRADOS;29595.58;45.91
INSTALACIONES CULTURALES - SALAS DE EXPOSICIONES, TEATROS, SALONES DE ACTOS, ETC.;13810.31;1049.81
"OTROS SERVICIOS: REPROGRAFÍA, CAFETERÍAS Y COMEDORES; TIENDAS; LOCALES PARA USOS DE ESTUDIANTES, ETC.";12422.55;1097.48
APARCAMIENTO;50500.55;6959.15
