PROGRAMAS DE DOCTORADO;Total;Mujeres;Hombres
AGUA Y DESARROLLO SOSTENIBLE;13;6;7
BIODIVERSIDAD Y CONSERVACIÓN;4;1;3
BIOLOGÍA EXPERIMENTAL Y APLICADA;8;7;1
CIENCIA DE MATERIALES;13;6;7
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;5;3;2
CIENCIAS DE LA SALUD;40;22;18
CIENCIAS DEL MAR Y BIOLOGÍA APLICADA;5;2;3
CIENCIAS EXPERIMENTALES Y BIOSANITARIAS;16;7;9
CONSERVACIÓN Y RESTAURACIÓN DE ECOSISTEMAS;2;0;2
DERECHO;28;15;13
ECONOMÍA;9;1;8
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);4;1;3
EMPRESA, ECONOMÍA Y SOCIEDAD;18;9;9
ESTUDIOS HISTÓRICOS Y SOCIALES SOBRE CIENCIA, MEDICINA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);2;2;0
ESTUDIOS INTERDISCIPLINARES DE GÉNERO (Interuniversitario);4;2;2
FILOSOFÍA (Interuniversitario);2;2;0
FILOSOFÍA Y LETRAS;52;25;27
FÍSICA APLICADA A LAS CIENCIAS Y LAS TECNOLOGÍAS;9;0;9
HUMANIDADES Y ESTUDIOS SOCIALES DE AMÉRICA LATINA;18;3;15
INFORMÁTICA;33;9;24
INGENIERÍA DE MATERIALES, ESTRUCTURAS Y TERRENO: CONSTRUCCIÓN SOSTENIBLE;3;2;1
INGENIERÍA QUÍMICA;3;1;2
INVESTIGACIÓN EDUCATIVA;22;12;10
MÉTODOS MATEMÁTICOS Y MODELIZACIÓN EN CIENCIAS E INGENIERÍA;1;0;1
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario);3;0;3
SÍNTESIS ORGÁNICA;4;3;1
TECNOLOGÍA EDUCATIVA APLICADA AL CONOCIMIENTO;26;8;18
TRADUCTOLOGÍA, TRADUCCIÓN PROFESIONAL Y AUDIOVISUAL (Interuniversitario);3;2;1
TRANSFERENCIAS INTERCULTURALES E HISTÓRICAS EN LA EUROPA MEDIEVAL MEDITERRÁNEA;11;7;4
TURISMO (Interuniversitario);10;6;4
