CENTRO;Nº;%
ESCUELA POLITÉCNICA SUPERIOR;16;25
FACULTAD DE CIENCIAS;12;18.8
FACULTAD DE CIENCIAS DE LA SALUD;6;9.4
FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES;10;15.6
FACULTAD DE DERECHO;6;9.4
FACULTAD DE EDUCACIÓN;2;3.1
FACULTAD DE FILOSOFÍA Y LETRAS;12;18.8
