GRADOS;Total;Mujeres;Hombres
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;1186;504;682
ARQUITECTURA TÉCNICA;277;132;145
BIOLOGÍA;626;395;231
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;412;123;289
CIENCIAS DEL MAR;229;132;97
CRIMINOLOGÍA;978;697;281
DERECHO;1277;899;378
ECONOMÍA;512;199;313
ENFERMERÍA;812;654;158
ESPAÑOL: LENGUA Y LITERATURAS;244;196;48
ESTUDIOS ÁRABES E ISLÁMICOS;31;17;14
ESTUDIOS FRANCESES;50;42;8
ESTUDIOS INGLESES;437;341;96
FILOLOGIA CATALANA;136;96;40
FÍSICA;239;69;170
FUNDAMENTOS DE LA ARQUITECTURA;585;342;243
GASTRONOMÍA Y ARTES CULINARIAS;262;139;123
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO;89;21;68
GEOLOGÍA;112;43;69
GESTIÓN Y ADMINISTRACIÓN PÚBLICA;109;65;44
HISTORIA;482;164;318
HUMANIDADES;94;54;40
INGENIERÍA AEROESPACIAL;50;14;36
INGENIERÍA BIOMÉDICA;309;175;134
INGENIERÍA CIVIL;265;74;191
INGENIERÍA EN INTELIGENCIA ARTIFICIAL;121;27;94
INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN;262;77;185
INGENIERÍA INFORMÁTICA;978;149;829
INGENIERÍA MULTIMEDIA;467;102;365
INGENIERÍA QUÍMICA;290;122;168
INGENIERÍA ROBÓTICA;301;62;239
LOGOPEDIA;78;71;7
MAESTRO EN EDUCACIÓN INFANTIL;1352;1176;176
MAESTRO EN EDUCACIÓN PRIMARIA;1784;1211;573
MARKETING;302;194;108
MATEMÁTICAS;287;93;194
MEDICINA;178;126;52
NUTRICIÓN HUMANA Y DIETÉTICA;358;257;101
ÓPTICA Y OPTOMETRÍA;242;179;63
PUBLICIDAD Y RELACIONES PÚBLICAS;1037;767;270
QUÍMICA;284;144;140
RELACIONES INTERNACIONALES;245;194;51
RELACIONES LABORALES Y RECURSOS HUMANOS (UA);458;314;144
RELACIONES LABORALES Y RECURSOS HUMANOS (ELDA);56;39;17
SOCIOLOGÍA;151;92;59
TRABAJO SOCIAL;628;539;89
TRADUCCIÓN E INTERPRETACIÓN;560;455;105
TURISMO;510;336;174
DOBLE GRADO EN DERECHO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;519;318;201
DOBLE GRADO EN DERECHO Y CRIMINOLOGÍA;363;305;58
DOBLE GRADO EN DERECHO Y RELACIONES INTERNACIONALES;293;233;60
DOBLE GRADO EN FÍSICA Y MATEMÁTICAS;36;13;23
DOBLE GRADO EN INGENIERÍA INFORMÁTICA Y ADMINISTR. Y DIRECCIÓN DE EMPRESAS;232;50;182
DOBLE GRADO EN TURISMO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;270;160;110
