GRADOS;Total;Mujeres;Hombres
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;358;160;198
ARQUITECTURA TÉCNICA;68;31;37
BIOLOGÍA;148;104;44
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;104;32;72
CIENCIAS DEL MAR;59;26;33
CRIMINOLOGÍA;239;173;66
DERECHO;274;195;79
ECONOMÍA;134;63;71
ENFERMERÍA;240;198;42
ESPAÑOL: LENGUA Y LITERATURAS;68;53;15
ESTUDIOS ÁRABES E ISLÁMICOS;11;4;7
ESTUDIOS FRANCESES;12;10;2
ESTUDIOS INGLESES;126;98;28
FILOLOGIA CATALANA;37;28;9
FÍSICA;72;18;54
FUNDAMENTOS DE LA ARQUITECTURA;135;81;54
GASTRONOMÍA Y ARTES CULINARIAS;65;36;29
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO;29;10;19
GEOLOGÍA;31;9;22
GESTIÓN Y ADMINISTRACIÓN PÚBLICA;32;21;11
HISTORIA;107;39;68
HUMANIDADES;22;16;6
INGENIERÍA BIOMÉDICA;66;34;32
INGENIERÍA CIVIL;72;22;50
INGENIERÍA EN INTELIGENCIA ARTIFICIAL;65;16;49
INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN;71;14;57
INGENIERÍA INFORMÁTICA;218;36;182
INGENIERÍA MULTIMEDIA;105;29;76
INGENIERÍA QUÍMICA;67;27;40
INGENIERÍA ROBÓTICA;69;10;59
MAESTRO EN EDUCACIÓN INFANTIL;333;288;45
MAESTRO EN EDUCACIÓN PRIMARIA;420;291;129
MARKETING;84;56;28
MATEMÁTICAS;69;21;48
MEDICINA;91;74;17
NUTRICIÓN HUMANA Y DIETÉTICA;123;90;33
ÓPTICA Y OPTOMETRÍA;61;45;16
PUBLICIDAD Y RELACIONES PÚBLICAS;251;187;64
QUÍMICA;68;33;35
RELACIONES INTERNACIONALES;68;59;9
RELACIONES LABORALES Y RECURSOS HUMANOS (UA);110;76;34
RELACIONES LABORALES Y RECURSOS HUMANOS (ELDA);27;16;11
SOCIOLOGÍA;37;23;14
TRABAJO SOCIAL;149;133;16
TRADUCCIÓN E INTERPRETACIÓN;139;116;23
TURISMO;120;79;41
DOBLE GRADO EN DERECHO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;130;80;50
DOBLE GRADO EN DERECHO Y CRIMINOLOGÍA;79;64;15
DOBLE GRADO EN DERECHO Y RELACIONES INTERNACIONALES;73;55;18
DOBLE GRADO EN INGENIERÍA INFORMÁTICA Y ADMINISTR. Y DIRECCIÓN DE EMPRESAS;51;14;37
DOBLE GRADO EN TURISMO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;87;47;40
