CENTRO;Total;Mujeres;Hombres
ESCUELA POLITÉCNICA SUPERIOR;992;348;644
FACULTAD DE CIENCIAS;614;342;272
FACULTAD DE CIENCIAS DE LA SALUD;543;421;122
FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES;1159;658;501
FACULTAD DE DERECHO;985;698;287
FACULTAD DE EDUCACIÓN;875;641;234
FACULTAD DE FILOSOFÍA Y LETRAS;635;390;245
