Estudiantado acogido;Total;Mujeres;Hombres
ESCUELA POLITÉCNICA SUPERIOR;125;62;63
FACULTAD DE CIENCIAS;40;27;13
FACULTAD DE CIENCIAS DE LA SALUD;38;32;6
FACULTAD  DE CIENCIAS ECONÓMICAS Y EMPRESARIALES;333;227;106
FACULTAD DE DERECHO;141;105;36
FACULTAD DE EDUCACIÓN;61;49;12
FACULTAD DE FILOSOFÍA Y LETRAS;288;230;58
CENTRO DE FORMACIÓN PERMANENTE;64;55;9
