MÁSTERES UNIVERSITARIOS;Total;Mujeres;Hombres
ABOGACÍA Y PROCURA;203;122;81
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;62;33;29
ARQUEOLOGÍA PROFESIONAL Y GESTIÓN INTEGRAL DEL PATRIMONIO;40;20;20
ARQUITECTURA;80;41;39
AUTOMÁTICA Y ROBÓTICA;23;5;18
BIOMEDICINA;17;11;6
BIOTECNOLOGÍA PARA LA SALUD Y LA SOSTENIBILIDAD;22;14;8
CÁLCULO Y MODELIZACIÓN CIENTÍFICA;11;1;10
CIBERSEGURIDAD;25;4;21
CIENCIA DE DATOS;28;6;22
CIENCIA DE MATERIALES;20;10;10
COMUNICACIÓN DIGITAL;48;33;15
COMUNICACIÓN E INDUSTRIAS CREATIVAS;44;33;11
CONSERVACIÓN DE LA BIODIVERSIDAD Y RESTAURACIÓN;42;23;19
COOPERACIÓN AL DESARROLLO (Interuniversitario);20;14;6
DERECHO AMBIENTAL Y DE LA SOSTENIBILIDAD;34;22;12
DERECHO DE DAÑOS;15;10;5
DESARROLLO DE APLICACIONES Y SERVICIOS WEB;17;5;12
DESARROLLO DE SOFTWARE PARA DISPOSITIVOS MÓVILES;18;2;16
DESARROLLO LOCAL E INNOVACIÓN TERRITORIAL;18;7;11
DIRECCIÓN Y PLANIFICACIÓN DEL TURISMO;42;30;12
ECONOMÍA APLICADA;10;4;6
ECONOMÍA CUANTITATIVA;21;9;12
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);21;7;14
EMERGENCIAS Y CATÁSTROFES;38;27;11
ENVEJECIMIENTO ACTIVO Y SALUD;21;14;7
ESPAÑOL E INGLÉS COMO SEGUNDAS LENGUAS/LENGUAS EXTRANJERAS;36;23;13
ESTUDIOS INGLESES AVANZADOS;15;8;7
ESTUDIOS LITERARIOS;28;20;8
GESTIÓN ADMINISTRATIVA;38;26;12
GESTIÓN PESQUERA SOSTENIBLE;8;5;3
GESTIÓN SOSTENIBLE Y TECNOLOGÍAS DEL AGUA;22;13;9
HISTORIA DE LA CIENCIA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);8;3;5
HISTORIA DE LA EUROPA CONTEMPORÁNEA: IDENTIDADES E INTEGRACIÓN;17;6;11
HISTORIA DEL MUNDO MEDITERRÁNEO Y SUS REGIONES;16;6;10
HISTORIA E IDENTIDADES EN EL MEDITERRÁNEO OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitario);14;6;8
INGENIERÍA BIOMÉDICA;26;18;8
INGENIERÍA DE CAMINOS, CANALES Y PUERTOS;54;14;40
INGENIERÍA DE TELECOMUNICACIÓN;37;7;30
INGENIERÍA GEOLÓGICA;12;3;9
INGENIERÍA INFORMÁTICA;10;3;7
INGENIERÍA QUÍMICA;50;20;30
INGLÉS Y ESPAÑOL PARA FINES ESPECÍFICOS;25;19;6
INNOVACIÓN SOCIAL Y DINÁMICAS DE CAMBIO;13;9;4
INTELIGENCIA ARTIFICIAL;35;7;28
INVESTIGACIÓN CRIMINAL Y CIENCIAS FORENSES;19;17;2
INVESTIGACIÓN EDUCATIVA;52;40;12
INVESTIGACIÓN EN CIENCIAS DE LA SALUD;15;8;7
NANOCIENCIA Y NANOTECNOLOGÍA MOLECULAR (Interuniversitario);2;1;1
NUEVAS TECNOLOGÍAS Y EFICIENCIA ENERGÉTICA EN EDIFICACIÓN;11;5;6
NUTRICIÓN Y ALIMENTACIÓN;26;21;5
OPTOMETRÍA AVANZADA Y SALUD VISUAL;10;9;1
PALEONTOLOGÍA APLICADA (Interuniversitario);11;4;7
PLANIFICACIÓN Y GESTIÓN DE RIESGOS NATURALES;15;10;5
PREVENCIÓN DE LA VIOLENCIA DE GÉNERO E INTERVENCIÓN DESDE UN ENFOQUE INTERDISCIPLINAR;23;21;2
PREVENCIÓN DE RIESGOS LABORALES;39;26;13
PROFESORADO DE EDUCACIÓN SECUNDARIA;563;342;221
QUÍMICA AMBIENTAL Y SOSTENIBLE;20;14;6
QUÍMICA MÉDICA;8;2;6
TRABAJO SOCIAL EN EL ÁMBITO SANITARIO (Interuniversitario);55;46;9
TRADUCCIÓN INSTITUCIONAL;85;70;15
TURISMO CULTURAL;32;18;14
