ESTRUCTURA;TOTAL
CAMPUS;1
SEDES UNIVERSITARIAS;13
FACULTADES Y ESCUELAS SUPERIORES;7
ESCUELA INTERNACIONAL DE DOCTORADO;1
CENTROS ADSCRITOS (ELDA);1
INSTITUTOS UNIVERSITARIOS;13
INSTITUTOS INTERUNIVERSITARIOS;5
DEPARTAMENTOS;58
OTROS CENTROS;7
