CENTRO;Total;Mujeres;Hombres
ESCUELA POLITÉCNICA SUPERIOR;3618;1145;2473
FACULTAD DE CIENCIAS;2265;1152;1113
FACULTAD DE CIENCIAS DE LA SALUD;1244;966;278
FACULTAD  DE CIENCIAS ECONÓMICAS Y EMPRESARIALES;4295;2531;1764
FACULTAD DE DERECHO;4197;2934;1263
FACULTAD DE EDUCACIÓN;3463;2434;1029
FACULTAD DE FILOSOFÍA Y LETRAS;2737;1829;908
