CATEGORY,GIS_ID,OBJECTID,GLOBALID,SHAPEAREA,SHAPELEN
Secondary Street,Downtown_DesignatedStreetsPly_23,53,{0085828E-09C4-441B-B753-4ECB197F2382},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_24,54,{94276D76-7C63-4BC6-A373-756312DA3DB7},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_25,55,{B1113C5F-9F09-45D0-8CF5-E13EC4BB916E},0,0
Primary Street,Downtown_DesignatedStreetsPly_26,56,{5297CCA5-4079-4C38-99AF-487F4D85F753},0,0
Secondary Street,Downtown_DesignatedStreetsPly_27,57,{6165FEC4-02A4-4E7A-89C6-BD051B73CEAA},0,0
Primary Street,Downtown_DesignatedStreetsPly_28,58,{7DE9AC23-E0E8-43F6-89F9-B613959D64F7},0,0
Secondary Street,Downtown_DesignatedStreetsPly_29,59,{4B32FCE0-3699-46EC-BD52-32E17C464B7E},0,0
Secondary Street,Downtown_DesignatedStreetsPly_30,60,{3823CE3D-4CA0-4F84-8AEF-87A55A4441E8},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_31,61,{1E383005-AC2B-43E7-AB39-A16D393E8295},0,0
Secondary Street,Downtown_DesignatedStreetsPly_32,62,{C4171FE9-5003-4524-85A3-10E6896C4683},0,0
Secondary Street,Downtown_DesignatedStreetsPly_33,63,{D7274742-1873-40F4-A6C0-2FED3031A2ED},0,0
Secondary Street,Downtown_DesignatedStreetsPly_34,64,{2C96E8CA-2202-4DDA-B1B8-98D192661353},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_35,65,{E50C13AD-E4C7-4C9E-8B74-3CDD9E1FF102},0,0
Primary Street,Downtown_DesignatedStreetsPly_36,66,{0780F0F7-A1AF-4FD4-9A31-68903BFE0495},0,0
Primary Street,Downtown_DesignatedStreetsPly_37,67,{0D615404-C87B-458F-A65C-F6737D3909B6},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_38,68,{CB57EA02-F39C-4D0B-A683-67F656800BA2},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_39,69,{615F93C2-58F0-468B-9A10-462FC963D31F},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_40,70,{E7776E84-65D3-47B9-BBCB-3495DAD2FD9E},0,0
Primary Street,Downtown_DesignatedStreetsPly_41,71,{B87B994A-6E14-45A2-BC19-C22AC3ED8885},0,0
Primary Street,Downtown_DesignatedStreetsPly_42,72,{8A5EEAF6-5071-4E0C-9A94-59FB5285C882},0,0
Primary Street,Downtown_DesignatedStreetsPly_43,73,{912F3E56-43ED-4873-94F5-3B15F6963BBB},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_44,74,{98096915-EAFB-48D6-8568-82EA131F82F8},0,0
Secondary Street,Downtown_DesignatedStreetsPly_45,75,{237990C6-3A8C-4B91-84FF-87AADA753A4F},0,0
Secondary Street,Downtown_DesignatedStreetsPly_46,76,{C0637A99-1CE9-4479-8401-AB344A2B3AC1},0,0
Secondary Street,Downtown_DesignatedStreetsPly_47,77,{BDE22403-E1A4-4A79-961E-1B05C02DA19D},0,0
Secondary Street,Downtown_DesignatedStreetsPly_48,78,{6EB397A0-5DF8-49C9-B208-ABE867B3799E},0,0
Primary Street,Downtown_DesignatedStreetsPly_49,79,{A1EDE1DF-165E-4886-9D8F-6C2E4825A011},0,0
Secondary Street,Downtown_DesignatedStreetsPly_50,80,{5512B0E0-ABC2-49A9-B1D2-525D2CB8F4BA},0,0
Primary Street,Downtown_DesignatedStreetsPly_51,81,{DB3AA9AE-90FA-4163-8E88-26F6EF13C891},0,0
Primary Street,Downtown_DesignatedStreetsPly_52,82,{88B662E3-3021-41D9-A9D7-9C9F13572FDA},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_53,83,{21E5BBF0-888F-4EDB-BADC-5D727D3E1768},0,0
Secondary Street,Downtown_DesignatedStreetsPly_54,84,{69742E7B-7D5B-477E-98B4-050492A9B00E},0,0
Secondary Street,Downtown_DesignatedStreetsPly_55,85,{19C5FE6F-24DE-4B22-A706-633F4723465C},0,0
Secondary Street,Downtown_DesignatedStreetsPly_56,86,{7903EAE9-3CAC-4D57-9028-75369C2A26A1},0,0
Secondary Street,Downtown_DesignatedStreetsPly_57,87,{20852892-4D04-4B31-9A19-93FE90C8E804},0,0
Secondary Street,Downtown_DesignatedStreetsPly_58,88,{216DCCD8-0927-40B2-8431-42E1B366191C},0,0
Primary Street,Downtown_DesignatedStreetsPly_59,89,{6AB61A50-408C-4224-BB78-25361EBF55AA},0,0
Primary Street,Downtown_DesignatedStreetsPly_60,90,{14614819-9FB5-47D0-BE08-7D6F45E1FADC},0,0
Secondary Street,Downtown_DesignatedStreetsPly_61,91,{815EEAC9-4889-427E-B2CF-D474C8DD4E0E},0,0
Secondary Street,Downtown_DesignatedStreetsPly_62,92,{873C5517-D97C-4512-A3A5-4592E9AAC888},0,0
Secondary Street,Downtown_DesignatedStreetsPly_63,93,{F35AACF5-D98D-4D58-BD49-EA6D1E172F43},0,0
Secondary Street,Downtown_DesignatedStreetsPly_64,94,{3A7C72A4-F0BC-4ADE-831F-F127132CE846},0,0
Secondary Street,Downtown_DesignatedStreetsPly_65,95,{ABB9C707-7FDF-49EA-A217-0AB1269FB539},0,0
Primary Street,Downtown_DesignatedStreetsPly_66,96,{CC3DB851-1760-4562-A3DD-C976FF3BED3E},0,0
Primary Street,Downtown_DesignatedStreetsPly_67,97,{6BA060C8-39C0-4CF6-B0DE-8BE4D54E92F7},0,0
Secondary Street,Downtown_DesignatedStreetsPly_68,98,{403E3907-DB49-4185-85FB-9F6BB0734EFE},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_69,99,{EBC7CD1E-43E7-4279-9102-B54C06C8E4A4},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_70,100,{95A4B9E8-A08B-4ECD-9FA9-2DAD31CB6F6A},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_71,101,{E7FD07F6-8B42-46CA-AC8E-956C4954BD6F},0,0
Secondary Street,Downtown_DesignatedStreetsPly_72,102,{7A432122-947B-421A-82E8-BAACF7D3D949},0,0
Secondary Street,Downtown_DesignatedStreetsPly_73,103,{7511C3C5-DA98-4164-A3CC-D7A12004758E},0,0
