MÀSTERS;Matrícula total;%  Residència fora de la Comunitat Valenciana;%  Nacionalitat no espanyola
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;62;38.71;70.97
ADVOCACIA I PROCURA;203;7.88;7.88
ANGLÉS I ESPANYOL PER A FINS ESPECÍFICS;25;56;60
ARQUEOLOGIA PROFESSIONAL I GESTIÓ INTEGRAL DEL PATRIMONI;40;30;5
ARQUITECTURA;80;25;7.5
AUTOMÀTICA I ROBÒTICA;23;21.74;26.09
BIOMEDICINA;17;23.53;47.06
BIOTECNOLOGIA PER A LA SALUT I LA SOSTENIBILITAT;22;18.18;31.82
CÀLCUL I MODELITZACIÓ CIENTÍFICA;11;9.09;0
CIBERSEGURETAT;25;16;44
CIÈNCIA DE DADES;28;17.86;7.14
CIÈNCIA DE MATERIALS;20;25;15
COMUNICACIÓ DIGITAL;48;50;50
COMUNICACIÓ I INDÚSTRIES CREATIVES;44;38.64;61.36
CONSERVACIÓ DE LA BIODIVERSITAT I RESTAURACIÓ DEL MEDIO MARÍ Y TERRESTRE;42;57.14;16.67
COOPERACIÓ AL DESENVOLUPAMENT (Interuniversitari);20;45;55
DESENVOLUPAMENT D'APLICACIONS I SERVEIS WEB;17;23.53;41.18
DESENVOLUPAMENT DE PROGRAMARI PER A DISPOSITIUS MÒBILS;18;38.89;33.33
DESENVOLUPAMENT LOCAL I INNOVACIÓ TERRITORIAL;18;22.22;38.89
DIRECCIÓ I PLANIFICACIÓ DEL TURISME;42;45.24;88.1
DRET AMBIENTAL I DE LA SOSTENIBILITAT;34;47.06;85.29
DRET DE DANYS;15;33.33;40
ECONOMIA APLICADA;10;50;60
ECONOMIA QUANTITATIVA;21;42.86;33.33
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);21;23.81;19.05
EMERGÈNCIES I CATÀSTROFES;38;26.32;5.26
ENGINYERIA BIOMÈDICA;26;26.92;7.69
ENGINYERIA DE CAMINS, CANALS I PORTS;54;22.22;42.59
ENGINYERIA DE TELECOMUNICACIÓ;37;16.22;27.03
ENGINYERIA GEOLÒGICA;12;41.67;50
ENGINYERIA INFORMÀTICA;10;10;40
ENGINYERIA QUÍMICA;50;2;16
ENVELLIMENT ACTIU I SALUT;21;33.33;38.1
ESPANYOL I ANGLÉS COM A SEGONES LLENGUES/LLENGUES ESTRANGERES;36;16.67;30.56
ESTUDIS ANGLESOS AVANÇATS;15;33.33;66.67
ESTUDIS LITERARIS;28;10.71;14.29
GESTIÓ ADMINISTRATIVA;38;13.16;44.74
GESTIÓ PESQUERA SOSTENIBLE;8;25;62.5
GESTIÓ SOSTENIBLE I TECNLOGIES DE L'AIGUA;22;63.64;63.64
HISTÒRIA DE LA CIÈNCIA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);8;50;12.5
HISTÒRIA DE L'EUROPA CONTEMPORÀNIA: IDENTITATS I INTEGRACIÓ;17;11.76;11.76
HISTÒRIA DEL MÓN MEDITERRANI I LES SEUES REGIONS;16;18.75;6.25
HISTÒRIA I IDENTITATS EN EL MEDITERRANI OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitari);14;0;7.14
INNOVACIÓ SOCIAL I DINÀMIQUES DE CANVI;13;30.77;15.38
INTEL·LIGÈNCIA ARTIFICIAL;35;34.29;34.29
INVESTIGACIÓ CRIMINAL I CIÈNCIES FORENSES;19;52.63;21.05
INVESTIGACIÓ EDUCATIVA;52;11.54;5.77
INVESTIGACIÓ EN CIÈNCIES DE LA SALUT;15;33.33;26.67
NANOCIÈNCIA I NANOTECNOLOGIA MOLECULAR (Interuniversitari);2;0;0
NOVES TECNOLOGIES I EFICIÈNCIA ENERGÈTICA EN EDIFICACIÓ;11;18.18;63.64
NUTRICIÓ I ALIMENTACIÓ;26;46.15;34.62
OPTOMETRIA AVANÇADA I SALUT VISUAL;10;60;60
PALEONTOLOGIA APLICADA (Interuniversitari);11;9.09;27.27
PLANIFICACIÓ I GESTIÓ DE RISCS NATURALS;15;46.67;20
PREVENCIÓ DE LA VIOLÈNCIA DE GÈNERE I INTERVENCIÓ DES D'UN ENFOCAMENT INTERDISCIPLINARI;23;8.7;0
PREVENCIÓ DE RISCOS LABORALS;39;23.08;46.15
PROFESSORAT D'EDUCACIÓ SECUNDÀRIA;563;11.19;2.31
QUÍMICA AMBIENTAL I SOSTENIBLE;20;20;30
QUÍMICA MÈDICA;8;25;12.5
TRADUCCIÓ INSTITUCIONAL;85;54.12;18.82
TREBALL SOCIAL EN L'ÀMBIT SANITARI (Interuniversitari);55;3.64;1.82
TURISME CULTURAL;32;31.25;37.5
