MÀSTERS UNIVERSITARIS;Total;Dones;Homes
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;60;27;33
ADVOCACIA (a extingir);94;61;33
ADVOCACIA I PROCURA;113;70;43
ANGLÉS I ESPANYOL PER A FINS ESPECÍFICS;21;17;4
ARQUEOLOGIA PROFESSIONAL I GESTIÓ INTEGRAL DEL PATRIMONI;43;20;23
ARQUITECTURA;77;40;37
AUTOMÀTICA I ROBÒTICA;33;9;24
BIOMEDICINA;16;9;7
BIOTECNOLOGIA PER A LA SALUT I LA SOSTENIBILITAT;8;4;4
CÀLCUL I MODELITZACIÓ CIENTÍFICA;3;1;2
CIBERSEGURETAT;20;3;17
CIÈNCIA DE DADES;28;10;18
CIÈNCIA DE MATERIALS;12;5;7
COMUNICACIÓ DIGITAL;48;32;16
COMUNICACIÓ I INDÚSTRIES CREATIVES;55;43;12
CONSERVACIÓ DE LA BIODIVERSITAT I RESTAURACIÓ DEL MEDIO MARÍ Y TERRESTRE;33;17;16
COOPERACIÓ AL DESENVOLUPAMENT (Interuniversitari);24;15;9
DESENVOLUPAMENT D'APLICACIONS I SERVEIS WEB;15;4;11
DESENVOLUPAMENT DE PROGRAMARI PER A DISPOSITIUS MÒBILS;19;1;18
DESENVOLUPAMENT LOCAL I INNOVACIÓ TERRITORIAL;11;5;6
DIRECCIÓ I PLANIFICACIÓ DEL TURISME;40;25;15
DRET AMBIENTAL I DE LA SOSTENIBILITAT;29;17;12
DRET DE DANYS;14;9;5
ECONOMIA APLICADA;11;6;5
ECONOMIA QUANTITATIVA;17;6;11
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);26;16;10
EMERGÈNCIES I CATÀSTROFES;33;28;5
ENGINYERIA BIOMÈDICA;9;6;3
ENGINYERIA DE CAMINS, CANALS I PORTS;55;14;41
ENGINYERIA DE TELECOMUNICACIÓ;37;10;27
ENGINYERIA GEOLÒGICA;18;7;11
ENGINYERIA INFORMÀTICA;6;2;4
ENGINYERIA QUÍMICA;46;20;26
ENVELLIMENT ACTIU I SALUT;19;11;8
ESPANYOL I ANGLÉS COM A SEGONES LLENGUES/LLENGUES ESTRANGERES;48;35;13
ESTUDIS ANGLESOS AVANÇATS;21;14;7
ESTUDIS LITERARIS;31;21;10
GESTIÓ ADMINISTRATIVA;26;18;8
GESTIÓ PESQUERA SOSTENIBLE;11;6;5
GESTIÓ SOSTENIBLE I TECNLOGIES DE L'AIGUA;22;16;6
HISTÒRIA DE LA CIÈNCIA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);12;6;6
HISTÒRIA DE L'EUROPA CONTEMPORÀNIA: IDENTITATS I INTEGRACIÓ;11;3;8
HISTÒRIA DEL MÓN MEDITERRANI I LES SEUES REGIONS;23;12;11
HISTÒRIA I IDENTITATS EN EL MEDITERRANI OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitari);16;7;9
INNOVACIÓ SOCIAL I DINÀMIQUES DE CANVI;17;10;7
INTEL·LIGÈNCIA ARTIFICIAL;29;3;26
INVESTIGACIÓ CRIMINAL I CIÈNCIES FORENSES;17;13;4
INVESTIGACIÓ EDUCATIVA;42;25;17
INVESTIGACIÓ EN CIÈNCIES DE LA SALUT;15;12;3
NANOCIÈNCIA I NANOTECNOLOGIA MOLECULAR (Interuniversitari);2;1;1
NUTRICIÓ I ALIMENTACIÓ;22;20;2
OPTOMETRIA AVANÇADA I SALUT VISUAL;6;6
PALEONTOLOGIA APLICADA (Interuniversitari);13;7;6
PLANIFICACIÓ I GESTIÓ DE RISCS NATURALS;22;11;11
PREVENCIÓ DE RISCOS LABORALS;39;21;18
PROFESSORAT D'EDUCACIÓ SECUNDÀRIA;540;304;236
QUÍMICA AMBIENTAL I SOSTENIBLE;14;10;4
QUÍMICA MÈDICA;7;4;3
TRADUCCIÓ INSTITUCIONAL;93;81;12
TURISME CULTURAL;16;9;7
