PROGRAMES DE DOCTORAT;Matrícula total;%  Residència fora de la Comunitat Valenciana;%  Nacionalitat no espanyola
AIGUA I DESENVOLUPAMENT SOSTENIBLE;52;26.92;65.38
BIODIVERSITAT I CONSERVACIÓ;19;31.58;52.63
BIOLOGIA EXPERIMENTAL I APLICADA;42;14.29;23.81
CIÈNCIA DE MATERIALS;68;17.65;41.18
CIÈNCIES DE LA SALUT;186;21.51;13.44
CIÈNCIES DE L'ACTIVIDAT FÍSICA I DE L'ESPORT;5;0;0
CIÈNCIES DEL MAR I BIOLOGIA APLICADA;26;34.62;38.46
CIÈNCIES EXPERIMENTALS I BIOSANITÀRIES;58;15.52;13.79
CONSERVACIÓ I RESTAURACIÓ D'ECOSISTEMES;22;18.18;27.27
DRET;151;21.85;44.37
ECONOMIA;39;30.77;38.46
ECONOMIA (Interuniversitari);2;0;50
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);20;40;45
EMPRESA, ECONOMIA I SOCIETAT;93;16.13;27.96
ENGINYERIA DE MATERIALS, ESTRUCTURES I TERRENY: CONSTRUCCIÓ SOSTENIBLE;38;36.84;50
ENGINYERIA QUÍMICA;23;17.39;43.48
ESTUDIS HISTÒRICS I SOCIALS SOBRE CIÈNCIA, MEDICINA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);3;66.67;33.33
ESTUDIS INTERDISCIPLINARS DE GÈNERE (Interuniversitari);19;10.53;15.79
FILOSOFIA (Interuniversitari);8;0;0
FILOSOFIA I LLETRES;271;16.24;28.78
FÍSICA APLICADA A LES CIÈNCIES I LES TECNOLOGIES;31;16.13;29.03
HUMANITATS I ESTUDIS SOCIALS D'AMÈRICA LLATINA;85;47.06;78.82
INFORMÀTICA;130;24.62;29.23
INVESTIGACIÓ EDUCATIVA;94;17.02;23.4
MARIE SKLODOWSKA-CURIE EN DRET DE PROPIETAT INTEL·LECTUAL I INNOVACIÓ (EIPN-IS) (EUROPEU CONJUNT);2;50;50
MÈTODES MATEMÀTICS I MODELITZACIÓ EN CIÈNCIES I ENGINYERIA;23;8.7;82.61
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari);6;16.67;0
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari, a extingir);1;100;0
SÍNTESI ORGÀNICA;19;31.58;31.58
TECNOLOGIA EDUCATIVA APLICADA AL CONEIXEMENT;28;53.57;39.29
TRADUCTOLOGIA, TRADUCCIÓ PROFESSIONAL I AUDIOVISUAL (Interuniversitari);38;31.58;60.53
TRANSFERÈNCIES INTERCULTURALS I HISTÒRIQUES A L'EUROPA MEDIEVAL;51;33.33;82.35
TURISME (Interuniversitari);35;28.57;68.57
TURISME (Interuniversitari, a extingir);4;25;75
