CENTRE;Total;Dones;Homes
ESCOLA POLITÈCNICA SUPERIOR;992;348;644
FACULTAT DE CIÈNCIES;614;342;272
FACULTAT DE CIÈNCIES DE LA SALUT;543;421;122
FACULTAT DE CIÈNCIES ECONÒMIQUES I EMPRESARIALS;1159;658;501
FACULTAT DE DRET;985;698;287
FACULTAT D'EDUCACIÓ;875;641;234
FACULTAT DE FILOSOFIA I LLETRES;635;390;245
