CENTRE;Nre.;%
ESCOLA POLITÈCNICA SUPERIOR;15;24.6
FACULTAT DE CIÈNCIES;12;19.7
FACULTAT DE CIÈNCIES DE LA SALUT;6;9.8
FACULTAT DE CIÈNCIES ECONÒMIQUES I EMPRESARIALS;8;13.1
FACULTAT DE DRET;6;9.8
FACULTAT D'EDUCACIÓ;2;3.3
FACULTAT DE FILOSOFIA I LLETRES;12;19.7
