FONS BIBLIOGRÀFICS;TOTAL
LLIBRES EN PAPER;841924
LLIBRES ELECTRÒNICS;629063
REVISTES IMPRESES;11388
REVISTES ELECTRÒNIQUES;139903
BASES DE DADES;198
