BRANCA D'ENSENYAMENT;Total;Dones;Homes
ARTS I HUMANITATS;510;320;190
CIÈNCIES;466;252;214
CIÈNCIES DE LA SALUT;615;476;139
CIÈNCIES SOCIALS I JURÍDIQUES;3177;2102;1075
ENGINYERIA I ARQUITECTURA;1047;357;690
