GRAUS;Total;Dones;Homes
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;1176;498;678
ARQUITECTURA;3;1;2
ARQUITECTURA TÈCNICA;246;110;136
BIOLOGIA;629;376;253
CIÈNCIES DE L'ACTIVITAT FÍSICA I DE L'ESPORT;410;107;303
CIÈNCIES DEL MAR;229;133;96
CRIMINOLOGIA;939;681;258
DRET;1330;889;441
ECONOMIA;509;198;311
ENGINYERIA BIOMÈDICA;331;180;151
ENGINYERIA CIVIL;229;63;166
ENGINYERIA EN INTEL·LIGÈNCIA ARTIFICIAL;65;16;49
ENGINYERIA EN SO I IMATGE EN TELECOMUNICACIÓ;256;70;186
ENGINYERIA INFORMÀTICA;914;128;786
ENGINYERIA MULTIMÈDIA;464;95;369
ENGINYERIA QUÍMICA;280;119;161
ENGINYERIA ROBÒTICA;287;61;226
ESPANYOL: LLENGUA I LITERATURES;244;198;46
ESTUDIS ANGLESOS;461;359;102
ESTUDIS ÀRABS I ISLÀMICS;27;14;13
ESTUDIS FRANCESOS;51;46;5
FILOLOGIA CATALANA;141;107;34
FÍSICA;257;71;186
FONAMENTS DE L'ARQUITECTURA;543;302;241
GASTRONOMIA I ARTS CULINÀRIES;251;138;113
GEOGRAFIA I ORDENACIÓ DEL TERRITORI;93;24;69
GEOLOGIA;103;40;63
GESTIÓ I ADMINISTRACIÓ PÚBLICA;100;62;38
HISTÒRIA;472;164;308
HUMANITATS;90;58;32
INFERMERIA;795;635;160
MÀRQUETING;287;181;106
MATEMÀTIQUES;298;95;203
MEDICINA;91;74;17
MESTRE EN EDUCACIÓ INFANTIL;1324;1167;157
MESTRE EN EDUCACIÓ PRIMÀRIA;1729;1160;569
NUTRICIÓ HUMANA I DIETÈTICA;358;257;101
ÒPTICA I OPTOMETRIA;220;160;60
PUBLICITAT I RELACIONS PÚBLIQUES;1039;782;257
QUÍMICA;278;139;139
RELACIONS INTERNACIONALS;259;197;62
RELACIONS LABORALS I RECURSOS HUMANS (UA);456;307;149
RELACIONS LABORALS I RECURSOS HUMANS (ELDA);66;45;21
SOCIOLOGIA;163;101;62
TRADUCCIÓ I INTERPRETACIÓ;596;487;109
TREBALL SOCIAL;630;542;88
TURISME;562;372;190
DOBLE GRAU EN DRET I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;512;304;208
DOBLE GRAU EN DRET I CRIMINOLOGIA;365;304;61
DOBLE GRAU EN DRET I RELACIONS INTERNACIONALS;236;190;46
DOBLE GRAU EN ENGINYERIA INFORMÀTICA I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;206;47;159
DOBLE GRAU EN TURISME I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;285;182;103
