BIBLIOTEQUES;TOTAL
NOMBRE;7
LLOCS INDIVIDUALS DE TREBALL  (AMB I SENSE EQUIPAMENT INFORMÀTIC I/O AUDIOVISUAL);3381
NOMBRE DE SALES DE TREBALL;28
LLOCS EN SALES DE TREBALL;192
NOMBRE DE SALES COL·LECTIVES PER A ACTIVITATS;8
LLOCS EN SALES COL·LECTIVES PER A ACTIVITATS;179
