CENTRE;Nre.;%
ESCOLA POLITÈCNICA SUPERIOR;16;25
FACULTAT DE CIÈNCIES;12;18.8
FACULTAT DE CIÈNCIES DE LA SALUT;6;9.4
FACULTAT DE CIÈNCIES ECONÒMIQUES I EMPRESARIALS;10;15.6
FACULTAT DE DRET;6;9.4
FACULTAT D'EDUCACIÓ;2;3.1
FACULTAT DE FILOSOFIA I LLETRES;12;18.8
