Estudiantat acollit;Total;Dones;Homes
ESCOLA POLITÈCNICA SUPERIOR;125;62;63
FACULTAT DE CIÈNCIES;40;27;13
FACULTAT DE CIÈNCIES DE LA SALUT;38;32;6
FACULTAT DE CIÈNCIES ECONÒMIQUES I EMPRESARIALS;333;227;106
FACULTAT DE DRET;141;105;36
FACULTAT D'EDUCACIÓ;61;49;12
FACULTAT DE FILOSOFIA I LLETRES;288;230;58
CENTRE DE FORMACIÓ PERMANENT;64;55;9
