CENTRE;TOTAL - VALENCIÀ;TOTAL - CASTELLÀ;TOTAL - INDIFERENT;TOTAL - NS/NC;DONES - VALENCIÀ;DONES - CASTELLÀ;DONES - INDIFERENT;DONES - NS/NC;HOMES - VALENCIÀ;HOMES - CASTELLÀ;HOMES - INDIFERENT;HOMES - NS/NC
ESCOLA POLITÈCNICA SUPERIOR;1.9;92.3;5.2;0.6;1.5;92.6;5.3;0.6;2.1;92.2;5.1;0.6
FACULTAT DE CIÈNCIES;7.9;83.2;8;0.9;9.8;81.7;7.6;0.9;5.9;84.7;8.5;0.9
FACULTAT DE CIÈNCIES DE LA SALUT;3.6;91.7;4.3;0.5;3.7;91.5;4.2;0.6;2.9;92.2;4.5;0.4
FACULTAT DE CIÈNCIES ECONÒMIQUES I EMPRESARIALS;3.2;92.2;3.9;0.7;3.7;91.2;4.2;0.8;2.6;93.5;3.5;0.4
FACULTAT DE DRET;2.8;92.5;4.3;0.4;2.7;92.4;4.4;0.4;2.8;92.8;3.9;0.5
FACULTAT D'EDUCACIÓ;12.5;76.5;9.9;1;13.1;75.4;10.5;1.1;11.2;79.2;8.6;1
FACULTAT DE FILOSOFIA I LLETRES;10.5;81.2;7.5;0.9;10.2;81.2;7.8;0.8;10.9;81.1;6.9;1
