Personal Técnic, de Gestió i de Suport a la Investigació (I-PTGAS) ;Total - Nre.;Total - %;Dones - Nre.;Dones - %;Homes - Nre.;Homes - %
ESPECIALISTA;10;5.8;4;4.5;6;7.1
ESPECIALISTA TÈCNIC/A;33;19.2;19;21.6;14;16.7
TÈCNIC/A;40;23.3;15;17;25;29.8
TÈCNIC/A INFORMÀTIC;1;0.6;0;0;1;1.2
TÈCNIC/A SUPERIOR;57;33.1;34;38.6;23;27.4
TECNÒLEG/A;11;6.4;6;6.8;5;6
TECNÒLEG/A SUPERIOR;20;11.6;10;11.4;10;11.9
