CENTRE;Total;Dones;Homes
ESCOLA POLITÈCNICA SUPERIOR;433;142;291
FACULTAT DE CIÈNCIES;401;202;199
FACULTAT DE CIÈNCIES DE LA SALUT;259;195;64
FACULTAT DE CIÈNCIES ECONÒMIQUES I EMPRESARIALS;684;444;240
FACULTAT DE DRET;778;530;248
FACULTAT D'EDUCACIÓ;707;532;175
FACULTAT DE FILOSOFIA I LLETRES;501;340;161
