BRANCA D'ENSENYAMENT;Total - Nre.;Total - %;Dones - Nre.;Dones - %;Homes - Nre.;Homes - %
ARTS I HUMANITATS;361;9.5755968169761;249;10.409698996656;112;8.1277213352685
CIÈNCIES;328;8.7002652519894;162;6.7725752508361;166;12.046444121916
CIÈNCIES DE LA SALUT;284;7.5331564986737;211;8.8210702341137;73;5.2975326560232
CIÈNCIES SOCIALS I JURÍDIQUES;2351;62.36074270557;1627;68.018394648829;724;52.539912917271
ENGINYERIA I ARQUITECTURA;446;11.83023872679;143;5.9782608695652;303;21.988388969521
