MÀSTERS UNIVERSITARIS;Total;Dones;Homes
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;37;19;18
ADVOCACIA I PROCURA;88;50;38
ANGLÉS I ESPANYOL PER A FINS ESPECÍFICS;17;13;4
ARQUEOLOGIA PROFESSIONAL I GESTIÓ INTEGRAL DEL PATRIMONI;19;11;8
ARQUITECTURA;55;31;24
AUTOMÀTICA I ROBÒTICA;16;3;13
BIOMEDICINA;11;6;5
BIOTECNOLOGIA PER A LA SALUT I LA SOSTENIBILITAT;21;14;7
CÀLCUL I MODELITZACIÓ CIENTÍFICA;11;1;10
CIBERSEGURETAT;20;3;17
CIÈNCIA DE DADES;20;3;17
CIÈNCIA DE MATERIALS;18;9;9
COMUNICACIÓ DIGITAL;35;27;8
COMUNICACIÓ I INDÚSTRIES CREATIVES;36;26;10
CONSERVACIÓ DE LA BIODIVERSITAT I RESTAURACIÓ DEL MEDIO MARÍ Y TERRESTRE;25;14;11
COOPERACIÓ AL DESENVOLUPAMENT (Interuniversitari);4;3;1
DESENVOLUPAMENT D'APLICACIONS I SERVEIS WEB;14;3;11
DESENVOLUPAMENT DE PROGRAMARI PER A DISP. MÒBILS;11;2;9
DESENVOLUPAMENT LOCAL I INNOVACIÓ TERRITORIAL;12;5;7
DIRECCIÓ I PLANIFICACIÓ DEL TURISME;24;18;6
DRET AMBIENTAL I DE LA SOSTENIBILITAT;22;14;8
DRET DE DANYS;11;8;3
ECONOMIA APLICADA;7;3;4
ECONOMIA QUANTITATIVA;12;4;8
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);19;6;13
EMERGÈNCIES I CATÀSTROFES;33;23;10
ENGINYERIA BIOMÈDICA;17;12;5
ENGINYERIA DE CAMINS, CANALS I PORTS;16;3;13
ENGINYERIA DE TELECOMUNICACIÓ;11;1;10
ENGINYERIA GEOLÒGICA;5;3;2
ENGINYERIA INFORMÀTICA;3;1;2
ENGINYERIA QUÍMICA;24;8;16
ENVELLIMENT ACTIU I SALUT;15;11;4
ESPANYOL I ANGLÉS COM A SEGONES LLENGUES/LLENGUES ESTRANGERES;27;17;10
ESTUDIS ANGLESOS AVANÇATS;10;6;4
ESTUDIS LITERARIS;20;14;6
GESTIÓ ADMINISTRATIVA;28;19;9
GESTIÓ SOSTENIBLE I TECNLOGIES DE L'AIGUA;15;7;8
HISTÒRIA DE LA CIÈNCIA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);5;3;2
HISTÒRIA DE L'EUROPA CONTEMPORÀNIA: IDENTITATS I INTEGRACIÓ;13;4;9
HISTÒRIA DEL MÓN MEDITERRANI I LES SEUES REGIONS;10;3;7
HISTÒRIA I IDENTITATS EN EL MEDITERRANI OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitari);12;5;7
INNOVACIÓ SOCIAL I DINÀMIQUES DE CANVI;9;6;3
INTEL·LIGÈNCIA ARTIFICIAL;31;6;25
INVESTIGACIÓ CRIMINAL I CIÈNCIES FORENSES;17;15;2
INVESTIGACIÓ EDUCATIVA;44;34;10
INVESTIGACIÓ EN CIÈNCIES DE LA SALUT;10;4;6
NANOCIÈNCIA I NANOTECNOLOGIA MOLECULAR (Interuniversitari);1;0;1
NOVES TECNOLOGIES I EFICIÈNCIA ENERGÈTICA EN EDIFICACIÓ;11;5;6
NUTRICIÓ I ALIMENTACIÓ;19;16;3
OPTOMETRIA AVANÇADA I SALUT VISUAL;6;5;1
PALEONTOLOGIA APLICADA (Interuniversitari);8;3;5
PLANIFICACIÓ I GESTIÓ DE RISCS NATURALS;11;8;3
PREVENCIÓ DE LA VIOLÈNCIA DE GÈNERE I INTERVENCIÓ DES D'UN ENFOCAMENT INTERDISCIPLINARI;23;21;2
PREVENCIÓ DE RISCOS LABORALS;24;17;7
PROFESSORAT D'EDUCACIÓ SECUNDÀRIA;485;299;186
QUÍMICA AMBIENTAL I SOSTENIBLE;15;9;6
QUÍMICA MÈDICA;6;1;5
TRADUCCIÓ INSTITUCIONAL;51;40;11
TREBALL SOCIAL EN L'ÀMBIT SANITARI (Interuniversitari);55;46;9
TURISME CULTURAL;19;9;10
