TIPUS ADMINISTRACIÓ;Total - Nre.;Total - %;Dones - Nre.;Dones - %;Homes - Nre.;Homes - %
ADMINISTRACIÓ GENERAL;819;54.6;567;64.1;252;41
ADMINISTRACIÓ ESPECIAL;681;45.4;318;35.9;363;59
