PROGRAMES DE DOCTORAT;Total;Dones;Homes
AIGUA I DESENVOLUPAMENT SOSTENIBLE;45;17;28
BIODIVERSITAT I CONSERVACIÓ;12;4;8
BIOLOGIA EXPERIMENTAL I APLICADA;35;19;16
CIÈNCIA DE MATERIALS;69;32;37
CIÈNCIES DE LA SALUT;173;104;69
CIÈNCIES DE L'ACTIVIDAT FÍSICA I DE L'ESPORT;12;6;6
CIÈNCIES DEL MAR I BIOLOGIA APLICADA;26;20;6
CIÈNCIES EXPERIMENTALS I BIOSANITÀRIES;59;24;35
CONSERVACIÓ I RESTAURACIÓ D'ECOSISTEMES;23;12;11
DIDÀCTICA DE LES CIÈNCIES EXPERIMENTALS (Interuniversitari);5;1;4
DRET;162;69;93
ECONOMIA;39;12;27
ECONOMIA (Interuniversitari);4;3;1
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);17;9;8
EMPRESA, ECONOMIA I SOCIETAT;90;44;46
ENGINYERIA DE MATERIALS, ESTRUCTURES I TERRENY: CONSTRUCCIÓ SOSTENIBLE;41;14;27
ENGINYERIA QUÍMICA;21;11;10
ESTUDIS HISTÒRICS I SOCIALS SOBRE CIÈNCIA, MEDICINA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);3;2;1
ESTUDIS INTERDISCIPLINARS DE GÈNERE (Interuniversitari);21;14;7
FILOSOFIA (Interuniversitari);9;4;5
FILOSOFIA I LLETRES;231;122;109
FÍSICA APLICADA A LES CIÈNCIES I LES TECNOLOGIES;42;14;28
HUMANITATS I ESTUDIS SOCIALS D'AMÈRICA LLATINA;90;38;52
INFORMÀTICA;140;33;107
INVESTIGACIÓ EDUCATIVA;86;56;30
MARIE SKLODOWSKA-CURIE EN DRET DE PROPIETAT INTEL·LECTUAL I INNOVACIÓ (EIPN-IS) (EUROPEU CONJUNT);1;0;1
MÈTODES MATEMÀTICS I MODELITZACIÓ EN CIÈNCIES I ENGINYERIA;18;8;10
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari);8;2;6
SÍNTESI ORGÀNICA;16;9;7
TECNOLOGIA EDUCATIVA APLICADA AL CONEIXEMENT;60;27;33
TRADUCTOLOGIA, TRADUCCIÓ PROFESSIONAL I AUDIOVISUAL (Interuniversitari);35;29;6
TRANSFERÈNCIES INTERCULTURALS I HISTÒRIQUES A L'EUROPA MEDIEVAL;55;37;18
TURISME (Interuniversitari);38;22;16
