Personal Técnic, de Gestió i de Suport a la Investigació (I-PTGAS):  NACIONALIDAD;TOTAL;ESPECIALISTA TÈCNIC/A;TÈCNIC/A;TÈCNIC/A SUPERIOR;TECNÒLEG/A SUPERIOR
ALGÈRIA;1;;1
ARÀBIA SAUDITA;1;;;1
ARGENTINA;1;;;1
BOLÍVIA;1;;1
BRASIL;1;;;1
COLÒMBIA;1;;1
EQUADOR;1;;;1
FRANÇA;1;;;1
GRÈCIA;1;;1
HOLANDA (PAÏSOS BAIXOS);2;;;;2
POLÒNIA;1;1
ROMANIA;2;;;1;1
RÚSSIA;1;;;;1
UCRAÏNA;5;1;2;2
