CENTRE;Total;Dones;Homes
ESCOLA POLITÈCNICA SUPERIOR;3905;1276;2629
FACULTAT DE CIÈNCIES;2317;1207;1110
FACULTAT DE CIÈNCIES DE LA SALUT;1426;1108;318
FACULTAT DE CIÈNCIES ECONÒMIQUES I EMPRESARIALS;4318;2505;1813
FACULTAT DE DRET;4242;3025;1217
FACULTAT D'EDUCACIÓ;3548;2510;1038
FACULTAT DE FILOSOFIA I LLETRES;2633;1722;911
