Estudiantat enviat;Total;Dones;Homes
ESCOLA POLITÈCNICA SUPERIOR;93;40;53
FACULTAT DE CIÈNCIES;57;32;25
FACULTAT DE CIÈNCIES DE LA SALUT;30;25;5
FACULTAT DE CIÈNCIES ECONÒMIQUES I EMPRESARIALS;197;117;80
FACULTAT DE DRET;160;110;50
FACULTAT D'EDUCACIÓ;61;46;15
FACULTAT DE FILOSOFIA I LLETRES;168;136;32
UNIVERSITAT PERMANENT;1;1;0
