BRANCA D'ENSENYAMENT;Total - Nre.;Total - %;Dones - Nre.;Dones - %;Homes - Nre.;Homes - %
ARTS I HUMANITATS;2034;9.0621519269325;1365;10.192652329749;669;7.3898155307633
CIÈNCIES;1813;8.0775228335932;889;6.6382915173238;924;10.206561360875
CIÈNCIES DE LA SALUT;1668;7.4314992203163;1287;9.6102150537634;381;4.208549652049
CIÈNCIES SOCIALS I JURÍDIQUES;12793;56.997104032078;8525;63.657407407407;4268;47.144592952612
ENGINYERIA I ARQUITECTURA;4137;18.43172198708;1326;9.9014336917563;2811;31.0504805037
