GRAUS;Total;Dones;Homes
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;358;160;198
ARQUITECTURA TÈCNICA;68;31;37
BIOLOGIA;148;104;44
CIÈNCIES DE L'ACTIVITAT FÍSICA I DE L'ESPORT;104;32;72
CIÈNCIES DEL MAR;59;26;33
CRIMINOLOGIA;239;173;66
DRET;274;195;79
ECONOMIA;134;63;71
ENGINYERIA BIOMÈDICA;66;34;32
ENGINYERIA CIVIL;72;22;50
ENGINYERIA EN INTEL·LIGÈNCIA ARTIFICIAL;65;16;49
ENGINYERIA EN SO I IMATGE EN TELECOMUNICACIÓ;71;14;57
ENGINYERIA INFORMÀTICA;218;36;182
ENGINYERIA MULTIMÈDIA;105;29;76
ENGINYERIA QUÍMICA;67;27;40
ENGINYERIA ROBÒTICA;69;10;59
ESPANYOL: LLENGUA I LITERATURES;68;53;15
ESTUDIS ANGLESOS;126;98;28
ESTUDIS ÀRABS I ISLÀMICS;11;4;7
ESTUDIS FRANCESOS;12;10;2
FILOLOGIA CATALANA;37;28;9
FÍSICA;72;18;54
FONAMENTS DE L'ARQUITECTURA;135;81;54
GASTRONOMIA I ARTS CULINÀRIES;65;36;29
GEOGRAFIA I ORDENACIÓ DEL TERRITORI;29;10;19
GEOLOGIA;31;9;22
GESTIÓ I ADMINISTRACIÓ PÚBLICA;32;21;11
HISTÒRIA;107;39;68
HUMANITATS;22;16;6
INFERMERIA;240;198;42
MÀRQUETING;84;56;28
MATEMÀTIQUES;69;21;48
MEDICINA;91;74;17
MESTRE EN EDUCACIÓ INFANTIL;333;288;45
MESTRE EN EDUCACIÓ PRIMÀRIA;420;291;129
NUTRICIÓ HUMANA I DIETÈTICA;123;90;33
ÒPTICA I OPTOMETRIA;61;45;16
PUBLICITAT I RELACIONS PÚBLIQUES;251;187;64
QUÍMICA;68;33;35
RELACIONS INTERNACIONALS;68;59;9
RELACIONS LABORALS I RECURSOS HUMANS (UA);110;76;34
RELACIONS LABORALS I RECURSOS HUMANS (ELDA);27;16;11
SOCIOLOGIA;37;23;14
TRADUCCIÓ I INTERPRETACIÓ;139;116;23
TREBALL SOCIAL;149;133;16
TURISME;120;79;41
DOBLE GRAU EN DRET I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;130;80;50
DOBLE GRAU EN DRET I CRIMINOLOGIA;79;64;15
DOBLE GRAU EN DRET I RELACIONS INTERNACIONALS;73;55;18
DOBLE GRAU EN ENGINYERIA INFORMÀTICA I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;51;14;37
DOBLE GRAU EN TURISME I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;87;47;40
