BRANCA D'ENSENYAMENT;Nre.;%
ARTS I HUMANITATS;8;15.1
CIÈNCIES;7;13.2
CIÈNCIES DE LA SALUT;5;9.4
CIÈNCIES SOCIALS I JURÍDIQUES;21;39.6
ENGINYERIA I ARQUITECTURA;12;22.6
