CENTRE;Total;Dones;Homes
ESCOLA POLITÈCNICA SUPERIOR;936;300;636
FACULTAT DE CIÈNCIES;573;292;281
FACULTAT DE CIÈNCIES DE LA SALUT;454;362;92
FACULTAT DE CIÈNCIES ECONÒMIQUES I EMPRESARIALS;1151;683;468
FACULTAT DE DRET;1005;723;282
FACULTAT D'EDUCACIÓ;857;611;246
FACULTAT DE FILOSOFIA I LLETRES;671;453;218
