BRANCA D'ENSENYAMENT;Total - Nre.;Total - %;Dones - Nre.;Dones - %;Homes - Nre.;Homes - %
ARTS I HUMANITATS;2082;9.5;1433;11;649;7.3
CIÈNCIES;1794;8.2;854;6.6;940;10.6
CIÈNCIES DE LA SALUT;1464;6.7;1126;8.6;338;3.8
CIÈNCIES SOCIALS I JURÍDIQUES;12721;58.1;8431;64.7;4290;48.5
ENGINYERIA I ARQUITECTURA;3824;17.5;1192;9.1;2632;29.7
