GRAUS;Matrícula total;%  Residència fora de la Comunitat Valenciana;%  Nacionalitat no espanyola
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;1186;15.85;19.14
ARQUITECTURA TÈCNICA;277;15.16;16.25
BIOLOGIA;626;18.85;6.23
CIÈNCIES DE L'ACTIVITAT FÍSICA I DE L'ESPORT;412;27.67;2.43
CIÈNCIES DEL MAR;229;40.61;6.55
CRIMINOLOGIA;978;32.92;4.19
DRET;1277;8.3;11.59
ECONOMIA;512;9.18;13.28
ENGINYERIA AEROESPACIAL;50;44;2
ENGINYERIA BIOMÈDICA;309;25.89;2.27
ENGINYERIA CIVIL;265;10.19;15.09
ENGINYERIA EN INTEL·LIGÈNCIA ARTIFICIAL;121;13.22;6.61
ENGINYERIA EN SO I IMATGE EN TELECOMUNICACIÓ;262;12.21;11.07
ENGINYERIA INFORMÀTICA;978;8.49;11.25
ENGINYERIA MULTIMÈDIA;467;13.49;6.21
ENGINYERIA QUÍMICA;290;8.97;8.28
ENGINYERIA ROBÒTICA;301;29.24;5.32
ESPANYOL: LLENGUA I LITERATURES;244;7.79;5.74
ESTUDIS ANGLESOS;437;8.01;10.76
ESTUDIS ÀRABS I ISLÀMICS;31;12.9;29.03
ESTUDIS FRANCESOS;50;14;22
FILOLOGIA CATALANA;136;0;0.74
FÍSICA;239;17.57;4.6
FONAMENTS DE L'ARQUITECTURA;585;21.37;10.6
GASTRONOMIA I ARTS CULINÀRIES;262;29.77;12.21
GEOGRAFIA I ORDENACIÓ DEL TERRITORI;89;5.62;8.99
GEOLOGIA;112;16.96;10.71
GESTIÓ I ADMINISTRACIÓ PÚBLICA;109;13.76;19.27
HISTÒRIA;482;6.85;3.11
HUMANITATS;94;3.19;7.45
INFERMERIA;812;16.63;3.57
LOGOPÈDIA;78;15.38;8.97
MÀRQUETING;302;17.88;8.61
MATEMÀTIQUES;287;18.47;1.74
MEDICINA;178;43.82;7.3
MESTRE EN EDUCACIÓ INFANTIL;1352;6.29;1.85
MESTRE EN EDUCACIÓ PRIMÀRIA;1784;5.89;0.95
NUTRICIÓ HUMANA I DIETÈTICA;358;23.18;10.89
ÒPTICA I OPTOMETRIA;242;26.86;12.81
PUBLICITAT I RELACIONS PÚBLIQUES;1037;21.12;10.32
QUÍMICA;284;8.8;1.76
RELACIONS INTERNACIONALS;245;30.2;10.61
RELACIONS LABORALS I RECURSOS HUMANS  (UA);458;8.95;13.1
RELACIONS LABORALS I RECURSOS HUMANS (ELDA);56;0;1.79
SOCIOLOGIA;151;9.27;12.58
TRADUCCIÓ I INTERPRETACIÓ;560;19.64;15.36
TREBALL SOCIAL;628;12.74;5.89
TURISME;510;15.88;33.14
DOBLE GRAU EN DRET I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;519;12.33;4.24
DOBLE GRAU EN DRET I CRIMINOLOGIA;363;35.26;6.89
DOBLE GRAU EN DRET I RELACIONS INTERNACIONALS;293;37.2;2.39
DOBLE GRAU EN ENGINYERIA INFORMÀTICA I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;232;9.91;9.91
DOBLE GRAU EN FÍSICA I MATEMÁTIQUES;36;11.11;2.78
DOBLE GRAU EN TURISME I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;270;24.07;24.44
