CENTRE;Nre.;%
ESCOLA POLITÈCNICA SUPERIOR;10;20
FACULTAT DE CIÈNCIES;8;16
FACULTAT DE CIÈNCIES DE LA SALUT;3;6
FACULTAT DE CIÈNCIES ECONÒMIQUES I EMPRESARIALS;8;16
FACULTAT DE DRET;8;16
FACULTAT D'EDUCACIÓ;3;6
FACULTAT DE FILOSOFIA I LLETRES;10;20
